iter	Passed	Remaining
0	179	179759
1	190	94894
2	202	67274
3	215	53600
4	229	45653
5	241	39927
6	251	35686
7	263	32629
8	271	29884
9	279	27645
10	287	25831
11	293	24140
12	297	22582
13	301	21235
14	307	20189
15	311	19165
16	316	18281
17	321	17564
18	326	16852
19	331	16265
20	342	15990
21	348	15501
22	356	15146
23	362	14739
24	369	14413
25	376	14090
26	382	13772
27	391	13596
28	398	13329
29	405	13123
30	413	12911
31	421	12742
32	427	12516
33	434	12349
34	441	12180
35	450	12051
36	457	11902
37	467	11838
38	474	11687
39	483	11608
40	490	11465
41	499	11399
42	505	11251
43	511	11115
44	520	11050
45	527	10947
46	535	10864
47	542	10758
48	551	10705
49	559	10622
50	568	10580
51	580	10576
52	635	11361
53	716	12558
54	732	12580
55	744	12553
56	762	12617
57	785	12751
58	801	12777
59	813	12748
60	827	12735
61	839	12703
62	849	12628
63	859	12572
64	872	12549
65	880	12454
66	889	12389
67	900	12344
68	908	12262
69	919	12212
70	934	12221
71	942	12143
72	954	12117
73	962	12047
74	976	12049
75	989	12027
76	1001	12003
77	1013	11974
78	1023	11926
79	1036	11916
80	1045	11867
81	1063	11907
82	1072	11846
83	1083	11814
84	1090	11740
85	1100	11700
86	1118	11732
87	1150	11922
88	1164	11923
89	1174	11878
90	1185	11843
91	1196	11804
92	1203	11733
93	1213	11693
94	1220	11627
95	1230	11591
96	1241	11555
97	1249	11496
98	1257	11441
99	1269	11424
100	1280	11394
101	1288	11343
102	1297	11295
103	1307	11265
104	1315	11209
105	1326	11183
106	1334	11133
107	1344	11107
108	1356	11086
109	1366	11056
110	1378	11041
111	1389	11014
112	1398	10977
113	1409	10952
114	1417	10905
115	1426	10873
116	1437	10849
117	1444	10795
118	1454	10764
119	1461	10715
120	1471	10692
121	1479	10646
122	1492	10641
123	1502	10617
124	1511	10578
125	1524	10575
126	1536	10561
127	1544	10523
128	1555	10500
129	1567	10492
130	1579	10479
131	1591	10463
132	1602	10446
133	1615	10441
134	1629	10439
135	1638	10408
136	1649	10391
137	1663	10392
138	1671	10354
139	1697	10424
140	1710	10422
141	1735	10484
142	1780	10668
143	1826	10858
144	1847	10896
145	1862	10893
146	1881	10918
147	1896	10920
148	1913	10926
149	1928	10926
150	1951	10972
151	1969	10988
152	1984	10987
153	2004	11010
154	2019	11009
155	2045	11069
156	2077	11154
157	2105	11220
158	2157	11409
159	2195	11526
160	2225	11600
161	2250	11641
162	2274	11678
163	2297	11711
164	2313	11709
165	2340	11759
166	2360	11772
167	2378	11779
168	2402	11812
169	2422	11827
170	2450	11880
171	2464	11863
172	2488	11895
173	2506	11900
174	2520	11884
175	2538	11884
176	2556	11887
177	2574	11888
178	2589	11879
179	2603	11860
180	2616	11841
181	2631	11828
182	2639	11784
183	2654	11773
184	2675	11786
185	2695	11796
186	2710	11784
187	2722	11760
188	2746	11785
189	2760	11767
190	2776	11761
191	2796	11770
192	2812	11760
193	2828	11749
194	2841	11731
195	2855	11713
196	2871	11705
197	2881	11672
198	2896	11658
199	2909	11639
200	2923	11620
201	2932	11585
202	2947	11572
203	2960	11553
204	2974	11533
205	2993	11539
206	3006	11518
207	3014	11479
208	3035	11489
209	3050	11475
210	3070	11480
211	3090	11486
212	3107	11480
213	3120	11463
214	3138	11460
215	3153	11446
216	3165	11421
217	3175	11392
218	3189	11374
219	3205	11364
220	3222	11357
221	3240	11357
222	3259	11356
223	3273	11339
224	3290	11334
225	3307	11326
226	3323	11318
227	3341	11314
228	3358	11308
229	3370	11283
230	3387	11277
231	3399	11253
232	3410	11227
233	3424	11210
234	3436	11185
235	3455	11186
236	3464	11153
237	3476	11131
238	3492	11120
239	3509	11114
240	3528	11112
241	3550	11121
242	3565	11107
243	3583	11102
244	3599	11092
245	3617	11087
246	3640	11097
247	3655	11085
248	3675	11086
249	3696	11088
250	3705	11058
251	3731	11077
252	3748	11067
253	3757	11036
254	3771	11019
255	3781	10988
256	3789	10955
257	3799	10926
258	3808	10895
259	3818	10869
260	3830	10844
261	3839	10815
262	3853	10798
263	3866	10778
264	3875	10750
265	3887	10727
266	3899	10704
267	3912	10685
268	3928	10674
269	3942	10660
270	3951	10628
271	3962	10605
272	3971	10576
273	3983	10555
274	3992	10526
275	4004	10505
276	4016	10482
277	4030	10467
278	4041	10444
279	4051	10417
280	4062	10395
281	4075	10376
282	4084	10349
283	4095	10324
284	4106	10302
285	4115	10273
286	4125	10249
287	4134	10220
288	4144	10197
289	4156	10175
290	4163	10143
291	4175	10124
292	4183	10094
293	4194	10072
294	4205	10051
295	4214	10022
296	4229	10012
297	4246	10003
298	4269	10008
299	4283	9994
300	4292	9967
301	4302	9944
302	4312	9919
303	4322	9896
304	4332	9872
305	4341	9846
306	4355	9831
307	4365	9807
308	4375	9784
309	4388	9767
310	4397	9743
311	4407	9719
312	4419	9699
313	4427	9673
314	4438	9652
315	4449	9632
316	4458	9606
317	4469	9584
318	4477	9558
319	4486	9534
320	4495	9509
321	4505	9486
322	4515	9463
323	4529	9451
324	4539	9429
325	4550	9408
326	4563	9391
327	4573	9369
328	4584	9349
329	4595	9330
330	4605	9307
331	4616	9289
332	4628	9270
333	4638	9248
334	4650	9230
